URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,IsHTTPS,Bank,Pay,Crypto,SuspiciousWords,URLDepth,AvgTokenLength,label
25,14,0,2,1,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.8,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
132,18,0,3,2,111,0.841,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,1,6,5.55,0
40,29,0,3,3,27,0.675,4,0.1,0,0,0,0,0.0,1,1,0.03,0,0,0,0,0,0,3.875,0
55,30,0,3,3,43,0.782,3,0.055,0,0,0,0,0.0,1,1,0.029,1,0,0,0,0,2,6.571,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
106,31,0,3,2,87,0.821,4,0.038,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.583,0
41,19,0,3,2,34,0.829,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,6.8,0
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
31,19,0,4,2,25,0.806,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
32,19,0,3,2,24,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
30,17,0,4,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
28,17,0,2,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
34,9,0,2,1,26,0.765,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,1,2,4.333,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
32,18,0,4,2,19,0.594,6,0.188,0,0,0,0,0.0,1,2,0.087,1,0,0,0,0,0,5.0,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
20,8,0,3,1,15,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.75,1
